,link,name,type,price,address,built_up,bedrooms,bathrooms,monthly_installment,land_title,tenure,furnishing,state
73,/property/johor-bahru/sale-8427123/,"Mount Austin Residence, Johor Bahru",4,685000,"Mount Austin Residence, Mount Austin Residence, 81100, Johor ",2373.0,4,4,3087,1,5,1, Johor
74,/property/ara-damansara/aragreens/sale-8427089/,"Aragreens, Ara Damansara",2,2210000,"Jalan Pju 1A/3, Ara Damansara, 47301, Selangor ",3831.0,6,6,9960,-,5,4, Selangor
75,/new-property/property/damansara-heights/dc-residensi-damansara-height/new-5445/,DC Residensi @ Damansara Height,2,0,"Damansara Heights, Kuala Lumpur ",2691.0,4,1 - 4,7901,4,-,-, Kuala Lumpur
76,/property/damansara-kim/sale-7667578/,"Jalan ss20/8, Damansara Kim, Damansara Kim",4,1150000,"Jalan ss20/8, Damansara Kim, 47400, Selangor ",2200.0,5,3,5183,4,5,4, Selangor
78,/new-property/property/seremban/allora-residensi-sigc/new-5618/,Allora @ Residensi SIGC,3,0,"Residensi SIGC, Seremban, Negeri Sembilan ",4102.5,1,4 - 5,4948,4,-,-, Negeri Sembilan
80,/property/iskandar-puteri-nusajaya/sale-8004211/,"Bukit Indah, Iskandar Puteri (Nusajaya)",4,590000,"Bukit Indah, Bukit Indah, 79100, Johor ",2800.0,3,2,2659,-,-,-, Johor
81,/property/iskandar-puteri-nusajaya/sale-8427029/,"Serimbun, Bukit Indah, Nusajaya , Iskandar Puteri (Nusajaya)",4,671000,"Jalan Indah, Taman Bukit Indah,Serimbun, Nusa Idaman, Nusa bestari, Serimbun, Bukit Indah, Nusajaya , 79100, Johor ",1993.0,4,3,3024,4,5,2, Johor
82,/new-property/property/subang-jaya/subang-jaya-city-centre-sjcc-tropika-paradise/new-1198/,Subang Jaya City Centre (SJCC) : Tropika Paradise,2,560888,"Subang Jaya, Selangor ",1410.0,3,2,2528,4,-,-, Selangor
83,/property/bukit-jalil/sale-8426834/,"Sri Petaling, Bukit Jalil",4,880000,"Sri Petaling, 57000, Kuala Lumpur ",2549.0,6,5,3966,4,3,-, Kuala Lumpur
84,/property/johor-bahru/sale-8311966/,"Ehsan Heights, Taman Ehsan Jaya, Johor Bahru",4,750000,"Jalan EJ, Ehsan Heights, Taman Ehsan Jaya, 81100, Johor ",1920.0,6,4,3380,4,3,4, Johor
